produto_id,feed_id,loja,nome,preco_atual,preco_anterior,preco_min,preco_max,primeira_vez,ultima_alteracao
41846078915,98680,Clovis Calçados BR,Bolsa Feminina Transversal Fuseco WBFT81007 CAQUI,59.99,59.99,59.99,59.99,2026-08-09,2026-08-09
41846078916,98680,Clovis Calçados BR,Tênis Feminino Casual Ramarim 2599201 SALMÃO 35,249.99,249.99,249.99,249.99,2026-08-09,2026-08-09
41846078917,98680,Clovis Calçados BR,Tênis Feminino Casual Ramarim 2599201 BEGE 35,249.99,249.99,249.99,249.99,2026-08-09,2026-08-09
41846078918,98680,Clovis Calçados BR,Tênis Feminino Casual Ramarim 2599201 BRANCO/CINZA 35,249.99,249.99,249.99,249.99,2026-08-09,2026-08-09
41846078919,98680,Clovis Calçados BR,Tênis Feminino Casual Ramarim 2599201 PRETO/BEGE 35,249.99,249.99,249.99,249.99,2026-08-09,2026-08-09
41846078920,98680,Clovis Calçados BR,Sapato Feminino Salto Grosso Moleca 5822100 PRETO 36,99.99,99.99,99.99,99.99,2026-08-09,2026-08-09
41846078921,98680,Clovis Calçados BR,Sapato Feminino Salto Grosso Moleca 5822100 SALMÃO 34,99.99,99.99,99.99,99.99,2026-08-09,2026-08-09
41846078922,98680,Clovis Calçados BR,Tênis Infantil Masculino Slip On Molekinho 2801164 CAQUI 32,79.99,79.99,79.99,79.99,2026-08-09,2026-08-09
41846078923,98680,Clovis Calçados BR,Tênis Infantil Masculino Baby Molekinho 2136164 BRANCO/CINZA 19,79.99,79.99,79.99,79.99,2026-08-09,2026-08-09
41846078924,98680,Clovis Calçados BR,Tênis Infantil Masculino Baby Molekinho 2136164 PRETO/BRANCO 19,79.99,79.99,79.99,79.99,2026-08-09,2026-08-09
41846078946,98680,Clovis Calçados BR,Sapato Feminino Salto Fino Vizzano 1122806 PRETO 34,99.99,99.99,99.99,99.99,2026-08-09,2026-08-09
41846078947,98680,Clovis Calçados BR,Tênis Pro Blaze V2 Converse All Star C005010001 BRANCO 38,199.99,199.99,199.99,199.99,2026-08-09,2026-08-09
41846078976,98680,Clovis Calçados BR,Tênis Infantil Chuck Taylor Converse All Star - CK04280030 AZUL 26,189.99,189.99,189.99,189.99,2026-08-09,2026-08-09
